カード名,商品コード,レアリティ,還元pt,カード画像URL,ローカル画像パス
かがやくサーナイト PSA10,PK-1385,その他,6080.0,https://drive.google.com/file/d/1SIEki-1ejKT2HZqvW4FTVhNL1o0rIqDn/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/かがやくサーナイト_1.jpg
ゴーリキー PSA10,PK-1386,AR,6080.0,https://drive.google.com/file/d/1G84I56zi_RJ75kMXRf6_ud43dCVtswT-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ゴーリキー_10.jpg
ピジョン PSA10,PK-1387,AR,6080.0,https://drive.google.com/file/d/1sTEuC4WzdZLKEjXV2suh1zM1um3XoUfx/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ピジョン_1.jpg
ブロロン PSA10,PK-1388,AR,6080.0,https://drive.google.com/file/d/1FcLzprjmV64jAiUH1djsutZTOFKGK935/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ブロロン_1.webp
プラスル PSA10,PK-1389,AR,6080.0,https://drive.google.com/file/d/1Zk2Hlg_BnQz2bX5lsgcWQ-OkBTgfyEz5/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/プラスル_1.webp
ドリュウズ PSA10,PK-1390,AR,6080.0,https://drive.google.com/file/d/1gKFOQNid6cwj51YEjBK2by3Mox8QdPHi/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ドリュウズ_10.jpg
カラミンゴ PSA10,PK-1391,AR,6080.0,https://drive.google.com/file/d/1iGo_gQGUHQaKz0U4HIXsud6j_NUhQ5cv/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/カラミンゴ_1.jpg
ポワルン PSA10,PK-1392,AR,6080.0,https://drive.google.com/file/d/11fAaa0wef2LXV4YA_1Q6qmdZS_VWqup3/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポワルン_1.jpg
ポッポ PSA10,PK-1393,AR,6080.0,https://drive.google.com/file/d/1q-Qbo0XoPr52lHOdru_rfqslKy8X_6QM/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポッポ_10.jpg
カラマネロ PSA10,PK-1394,CHR,6080.0,https://drive.google.com/file/d/16Z5aZCvwNOGOmF6YYvZ-xym4yrg0ZVjx/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/カラマネロ_10.jpg
ヤレユータン PSA10,PK-1395,CHR,6080.0,https://drive.google.com/file/d/13y5fQT_czkhy78t6nHpLjFiCUoNlOq5V/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ヤレユータン_10.jpg
ガブリアスC LVX PSA10(25th),PK-1396,プロモカード,6080.0,https://drive.google.com/file/d/1GGk29-r3UoCSiRjsjy7GpTaQQ9GRmEvS/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01396.webp
ジバコイル PSA10,PK-1397,AR,6080.0,,/Users/kotarokashiwai/pokeca/renamed_sample/ジバコイル_10.jpg
リザードPSA10,PK-1398,AR,6080.0,https://drive.google.com/file/d/1NCWN5tgDleNgWEJ_mBcXZScSc-eDEzKt/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/リザード_10.jpg
デルビル PSA10,PK-1399,AR,6080.0,https://drive.google.com/file/d/1jsIavx74QVPJJJwIdnIGrqehZ6gNdG3K/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/デルビル_10.jpg
ミルタンク PSA10,PK-1400,AR,6080.0,https://drive.google.com/file/d/1E-J2QM6cttlQCNwAiDhqOgGdq68FRjK-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ミルタンク_1.jpg
フォクスライ PSA10,PK-1401,AR,6080.0,https://drive.google.com/file/d/1Plv9ZjU4TH87HFPokavbmdgtQSTJRqrE/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/フォクスライ_1.jpg
サーナイトexδ種(25th) PSA10,PK-1402,プロモカード,6080.0,,/Users/kotarokashiwai/pokeca/images/card_01402.webp
メタモン PSA10,PK-1403,AR,6080.0,https://drive.google.com/file/d/1MAbLYF2-o2EjbZof9zYRmSkcEKKP11H1/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/メタモン_10.jpg
モトトカゲ PSA10,PK-1404,AR,6080.0,https://drive.google.com/file/d/1nKgLRs3jlF1im-J9ESV6LUR4ZHKtgZ64/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/モトトカゲ_1.jpg
ナットレイ PSA10,PK-1405,AR,6080.0,https://drive.google.com/file/d/1pkjSQR9viY03d7I39gblaAcw3We8yOuW/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ナットレイ_1.webp
メテノ PSA10,PK-1406,AR,6080.0,https://drive.google.com/file/d/1W1bc4EYJUjDqJh4j-_Wj3Um5zrNjAiOc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/メテノ_1.jpg
ユキワラシ PSA10,PK-1407,AR,6080.0,https://drive.google.com/file/d/1VxMFLLJDxMtDsa1oGzbseKnUG2S1JquL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ユキワラシ_10.jpg
タマンタ PSA10,PK-1408,AR,6080.0,https://drive.google.com/file/d/1ZWrTMWhWRzA0VdJ-_y4ZbCbNFhJpxPNj/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/タマンタ.jpg
かがやくカメックス PSA10,PK-1409,K,6080.0,https://drive.google.com/file/d/1WTfqBWRO8fn3LwUEBW5746FZJNo0VrXH/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/かがやくカメックス.jpg
モンジャラ PSA10,PK-1410,AR,6080.0,https://drive.google.com/file/d/1GBQTdCobxfwXj1hQ227jaS9cksWOBuYV/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/モンジャラ_10.jpg
フシギソウ PSA10,PK-1411,AR,6080.0,https://drive.google.com/file/d/1D9qTXyZzVo6lu27UvuczlqTpPVcLRh9S/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/フシギソウ_1.jpg
ピィ(25th) PSA10,PK-1412,その他,6080.0,https://drive.google.com/file/d/1KcCeK2f3ZVZS9oQ99O2MkFvmA4fPPfwq/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02889.webp
ストリンダー PSA10,PK-1413,AR,6080.0,https://drive.google.com/file/d/18yFls4UhGKEhcRBiyIlPUogiN3OkMuHp/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ストリンダー_1.jpg
グラエナ PSA10,PK-1414,CHR,6080.0,https://drive.google.com/file/d/14qRLF5GpEm9Me5ROirPuiHPIRONb2WqN/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/グラエナ_1.jpg
ヤレユータンV PSA10,PK-1415,その他,6080.0,https://drive.google.com/file/d/1xjim04BQojLZh8Si_yh_iA_9h9JZF0D-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ヤレユータン_10.jpg
ギャラドスex PSA10,PK-1416,その他,6080.0,https://drive.google.com/file/d/1rhff2d7I1bAdOvBz2RWu36fi0e8XdzOK/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14161.jpg
パルデアウパー PSA10,PK-1417,その他,6080.0,https://drive.google.com/file/d/1-Uy-Q4he0UDSgnPdQpv4A85LHg-FJkpf/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01417.webp
クサイハナ PSA10,PK-1418,その他,6080.0,https://drive.google.com/file/d/1180rOjB722iDL89WSaMaB5WLV9tNYn-p/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/クサイハナ_1.jpg
イーブイ PSA10,PK-1419,プロモカード,6080.0,https://drive.google.com/file/d/1Rbj9HwrWoRar9HmiHTTwtDnuw1Qr0JhB/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/イーブイ_10.jpg
バチンウニ PSA10,PK-1420,S,6080.0,https://drive.google.com/file/d/1YK9SWWT6n7cl1aN3MSqnfKdgOgtPB3LK/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/バチンウニ_1.jpg
クロバットV PSA10,PK-1421,プロモカード,6080.0,https://drive.google.com/file/d/1XJ_APTK5Y8tCwWCnQHK9cDX-rBW4mXV6/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/クロバット_10.jpg
イベルタル(A) PSA10,PK-1422,A,6080.0,https://drive.google.com/file/d/18LzoLy41G79u05WcgCgut-zb2oqEwRlS/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/イベルタル_10.jpg
カヌチャン PSA10,PK-1423,AR,6080.0,https://drive.google.com/file/d/10ea0PTkkElGhfHBkCQmUGixHqUOgCxi-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/カヌチャン_1.jpg
シバ PSA10,PK-1424,SR,6080.0,https://drive.google.com/file/d/19wgMRFQGCgJOtr05kWSFfEjSuQ8IuD9h/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_06063.webp
ブースターV PSA10,PK-1425,RR,6080.0,https://drive.google.com/file/d/1kSh07Jm2BVYN37bsrQYurynOyyFnN2Hr/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ブースター_10.jpg
リーフィアV PSA10,PK-1426,RR,6080.0,https://drive.google.com/file/d/1tOh9SPqRaSxPKljnKzryec-w74A_xBsY/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/リーフィア_1.webp
スイクン PSA10,PK-1427,プロモカード,6080.0,https://drive.google.com/file/d/1lqGc9QOFC0uM1fgWNfyAgbH0YvQdCjkD/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/スイクン_10.jpg
マスタード PSA10,PK-1428,その他,6080.0,https://drive.google.com/file/d/1208zrcIs1yI7crFRVa7b7-NRIVJKepLX/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14284.jpg
ヘラクロス PSA10,PK-1429,その他,6080.0,https://drive.google.com/file/d/106omU56OKlX0Mq1grkJyCecXFYrF6KXz/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ヘラクロス_10.jpg
セグレイブ PSA10,PK-1430,その他,6080.0,https://drive.google.com/file/d/1N5yyj9V6-yPAe0fNBG8lq7isLxjtmlOc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/セグレイブ_1.jpg
イルカマン PSA10,PK-1431,その他,6080.0,https://drive.google.com/file/d/1oq0z8Krsndvv0AwkB9ZXJ6c4ZMXA1U8c/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/イルカマン_1.jpg
トゲキッス PSA10,PK-1432,R,6080.0,https://drive.google.com/file/d/1duNFFjeS2hKuKbaNT40FVuJ6qjeipJSG/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/トゲキッス_1.jpg
ガケガニ PSA10,PK-1433,その他,6080.0,https://drive.google.com/file/d/1zPr8FcunA_vl1FvucJHZcb--Hy7O7Ggn/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ガケガニ_1.webp
イベルタル PSA10,PK-1434,AR,6080.0,https://drive.google.com/file/d/1uSEA9QpkLSxnOjecHmDGwfWNHhZMDdjt/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/イベルタル_10.jpg
ビーダル PSA10,PK-1435,その他,6080.0,,/Users/kotarokashiwai/pokeca/renamed_sample/ビーダル_1.jpg
オドシシ PSA10,PK-1436,その他,6080.0,https://drive.google.com/file/d/1SJouUiHiXtW0wHeKy49b_g0mZFKtKAjc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/オドシシ_1.jpg
レジギガスVSTAR PSA10,PK-1437,SAR,6080.0,https://drive.google.com/file/d/1Eav1o2SwXVR-Uaeqxa9orbzdHpU74e_b/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_06433.webp
フーパV PSA10,PK-1438,SR,6080.0,https://drive.google.com/file/d/1jWgANulxgcygOQNUkKMLuvk-e6UvY6YI/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/フーパ_10.jpg
テツノワダチex PSA10,PK-1439,SSR,6080.0,https://drive.google.com/file/d/1hroq-3mMXq4SFOytuhAkHkMZvOZ0ePQa/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02923.webp
ギルガルド PSA10,PK-1440,AR,6080.0,https://drive.google.com/file/d/1ag9GqWxAnLIKw8cb5n7vL8ylv1Izer1G/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ギルガルド_10.jpg
ガラルサンダー(AR) PSA10,PK-1441,AR,6080.0,https://drive.google.com/file/d/1a9CagCaX699LrneBoXRrjJTgbdCOiV3G/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01441.webp
ウェーニバルex,PK-1442,SAR,6080.0,https://drive.google.com/file/d/1tsQE_hdFnjrbHawVJUR6OejdxA7gNisA/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ウェーニバル四.jpg
覚醒の勇者 1パック,PK-1443,その他,6080.0,https://drive.google.com/file/d/1CtpOMUdezXX6NEUC0bZxc-lre0K41IuL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14434.jpg
ブースターex,PK-1444,SAR,6080.0,https://drive.google.com/file/d/1TN-AO2TqAjrWBlGcJX3xzFF5jhjfGBtN/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ブースター.jpg
ダブルターボエネルギー,PK-1445,UR,6000.0,https://drive.google.com/file/d/1YzPmFFX7FBd4O-Al7IEZOoJdHxBSJdde/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ダブルターボエネルギー.jpg
インテレオンVMAX,PK-1446,その他,6000.0,https://drive.google.com/file/d/1_InztvxDeBLdqRB_JaOW0B06qdXTXm0-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/インテレオン.jpg
カウンターキャッチャー,PK-1447,UR,6000.0,https://drive.google.com/file/d/16rxD190ajqKuAYAyEtZctS5Cw-DBEknN/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01447.webp
チルタリス PSA10,PK-1448,その他,6000.0,https://drive.google.com/file/d/1MaDjEf5SfF58OkgNSBW-PKjg4DSsMiWz/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/チルタリス_10.jpg
ソルガレオ&ルナアーラGX PSA10,PK-1449,RR,6000.0,https://drive.google.com/file/d/1boqqER3NR93cADuz0FAgmrecS3ME2B-v/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00228.webp
ミュウツーEX(25th) PSA10,PK-1450,その他,6000.0,https://drive.google.com/file/d/1bfpzigeZMr3mf1NjyDzFCnNmVvBXf2dl/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01450.webp
チルット PSA10,PK-1451,その他,6000.0,https://drive.google.com/file/d/1-dyTI-vdnQ_UpHD7oi1f-82XSJh5xqUp/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/チルット_10.jpg
ジュラルドンVMAX PSA10,PK-1452,CSR,6000.0,https://drive.google.com/file/d/1MSjUszdNozSztPLqKIzXdQY4TsmT7oWB/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00426.webp
かがやくジラーチ PSA10,PK-1453,その他,6000.0,https://drive.google.com/file/d/1iDemlDvlB4gScEJChijCx-X1UQTXK6TP/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/かがやくジラーチ.jpg
デオキシスVMAX PSA10,PK-1454,その他,6000.0,https://drive.google.com/file/d/1yTlLBUqWh7UJeQGQejLmFl0RuegzezJi/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_53869.webp
キバナ PSA10,PK-1455,その他,6000.0,https://drive.google.com/file/d/1-47E5qYytxeEBl8b8NTZrjWQJAJar6xF/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01153.webp
サンダースV PSA10,PK-1456,その他,6000.0,,/Users/kotarokashiwai/pokeca/renamed_sample/サンダース_10.jpg
イッカネズミ PSA10,PK-1457,その他,6000.0,https://drive.google.com/file/d/1rMU8KVTOufcvY_xxY8lr58Cjkmb4jHUJ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/イッカネズミ_1.jpg
R団のサンダー PSA10,PK-1458,その他,6000.0,https://drive.google.com/file/d/1hwyGDnAFbNCI6nlF_-VdfjkVIyL31b9H/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/円団のサンダー_1.jpg
ギャラドス(classicキラ) PSA10,PK-1459,その他,6000.0,https://drive.google.com/file/d/1sLHG6tnz82LobaPM6VbUGrQ-XrL5SQDL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01459.webp
ポッチャマ(P) PSA10,PK-1460,その他,6000.0,https://drive.google.com/file/d/1BOhdoqXZxQl-oHc0-lYUKEEUsXm_zSdc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ポッチャマ_10.jpg
ミュウ(エクストラバトルの日) PSA10,PK-1461,プロモカード,6000.0,https://drive.google.com/file/d/1pnC3H_t6tyeJGoKEw94j54S7JOe7Lgkp/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14611.jpg
スナバァ PSA10,PK-1462,AR,6000.0,https://drive.google.com/file/d/10PqpvuIjRm3XtllcCtoLTdW6_Q5zs_7k/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01462.webp
レックウザVMAX,PK-1463,HR,6000.0,https://drive.google.com/file/d/1k1ZpV3qoJIh765OTTxzrvNboO33R3qCn/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/レックウザ.jpg
ドラゴンストーム 3パック,PK-1464,その他,5980.0,https://drive.google.com/file/d/14HUkRLTz-INvcAqJ8SrGsZMAI0EAov1T/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14644.jpg
さぎょういん PSA10,PK-1465,その他,5980.0,https://drive.google.com/file/d/1BQwd9Ef6bLFx_vFImcg0DOWYICHXIS0E/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01465.webp
ゲンガー PSA10,PK-1466,その他,5980.0,https://drive.google.com/file/d/1r3hCQu1ojtLk2_JJKBjQ-OL5XTcwSNXM/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ゲンガー_10.jpg
デデンネex PSA10,PK-1467,その他,5980.0,https://drive.google.com/file/d/1gJht9uudwPp83uOjprvLzIn1mdgmRPkH/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14671.jpg
ライコウV PSA10,PK-1468,その他,5980.0,,/Users/kotarokashiwai/pokeca/renamed_sample/ライコウ_10.jpg
リザードン＆テールナーGX PSA10,PK-1469,その他,5980.0,https://drive.google.com/file/d/10IVNOx00wNcfevIwYwXwwe9_pIncSU85/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_54355.webp
ミュウ(25thミラー) PSA10,PK-1470,その他,5980.0,https://drive.google.com/file/d/1Az8AW4c0u5tSatr6yUv1GyX1bOHJWJ4K/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14707.jpg
ジニア PSA10,PK-1471,その他,5980.0,https://drive.google.com/file/d/1bUilXtfqZoD4om1pJpzFeAR78Q-houQe/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01471.webp
ソルガレオ PSA10,PK-1472,その他,5980.0,https://drive.google.com/file/d/1LnvpIISwwDtkW9sf1vdtbLhSHMags3Gh/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ソルガレオ_1.jpg
コイキング(classic) PSA10,PK-1473,その他,5980.0,https://drive.google.com/file/d/1IWioKIozRV8s83cYIueKuE3lqJPROt9R/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14734.jpg
テツノコウベ PSA10,PK-1474,AR,5980.0,https://drive.google.com/file/d/1er24fxGdSw8D3t4e_A6UwhCqOUaFeyDf/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/テツノコウベ_1.webp
ブーバー(クラシック) PSA10,PK-1475,その他,5980.0,https://drive.google.com/file/d/1gtN_PVsTPcSCE5qx_t4_DVKjjbtnHvXb/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02535.webp
禁断の光 3パック,PK-1476,その他,5980.0,https://drive.google.com/file/d/14uS3yeDXHEq7tCuS9NsOQEI15d3WgOp4/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14760.jpg
クララ,PK-1477,HR,5980.0,https://drive.google.com/file/d/1MkTl1Rj8UM5GSX8InG2h9RM75-mb9ZnO/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01477.webp
ブースター(マスターボールミラー),PK-1478,R,5980.0,https://drive.google.com/file/d/1gLk476eBS0DZUyY2vJSj0eSnvUfkHQZi/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_64219.webp
コレクションX 1パック,PK-1479,その他,5980.0,https://drive.google.com/file/d/1Jz0K8xV_GIF4o5PzOUl4EBamvGOoPpdk/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14793.jpg
白銀のランス 10パック,PK-1480,その他,5940.0,https://drive.google.com/file/d/1bdtdUEXih-SkeUjoAsNlQuOUX5ZIcvZX/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01480.webp
テラスタルフェスex 3パック,PK-1481,その他,5940.0,https://drive.google.com/file/d/139ZavD_QL-fyH6yHdJPaDC6NJEeBOkhL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_08568.webp
白熱のアルカナ 10パック,PK-1482,その他,5900.0,https://drive.google.com/file/d/18hixh20QBtfkxywtKASlVzj1le0WlMiJ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14829.jpg
コルニの気合い,PK-1483,SR,5880.0,https://drive.google.com/file/d/1SEaY-7WsOL1p_PKEhPGzT7yxziJ_2vMR/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/コルニの気合い.jpg
レックウザVMAX,PK-1484,CSR,5880.0,https://drive.google.com/file/d/1YT3PFLQEcj4KXbQCvc2GmHzM_ZZmMr2u/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/レックウザ.jpg
フーディンex,PK-1485,SAR,5880.0,https://drive.google.com/file/d/1NxVtUhHQP64-yhomm8OBxppdci242HbZ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/フーディン.jpg
サザンドラex,PK-1486,SAR,5880.0,https://drive.google.com/file/d/16G21QySpvSJJ846Wteu9RZ0nc5hYSc0y/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/サザンドラ.jpg
サンダースex,PK-1487,SAR,5880.0,https://drive.google.com/file/d/1Ja1gV1rSlFflw2jjmq3KJbdxm1YcnJnE/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/サンダース.webp
迅雷スパーク 5パック,PK-1488,その他,5800.0,https://drive.google.com/file/d/1FewWS6N6ZTjELUg_0Emr3bxJq9z4fP-N/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14881.jpg
25th アニバーサリーコレクション 3パック,PK-1489,その他,5780.0,https://drive.google.com/file/d/1cmU13JtsADjCkl6wRHmL_u_eEMPc0q0V/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01489.webp
スカイレジェンド 3パック,PK-1490,その他,5780.0,https://drive.google.com/file/d/1-9QVV5tKKJxWGJrtS9xlGMYO6J1tQ-bY/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_11026.webp
超爆インパクト 3パック,PK-1491,その他,5780.0,https://drive.google.com/file/d/1BYKmP5Xw3_ZAzttuZZ15dGTTV95pQlP3/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14911.jpg
覚醒の鼓動7パック,PK-1492,その他,5780.0,https://drive.google.com/file/d/1FVCCraAKCtie0yfENwE0jc2ORg-SvvTF/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01492.webp
ジャミングタワー,PK-1493,UR,5780.0,https://drive.google.com/file/d/1CGW6RAYNMTnFOqHTu9s7ICII3H7xcwaI/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ジャミングタワー.jpg
摩天パーフェクト 10パック,PK-1494,その他,5680.0,https://drive.google.com/file/d/1J3bkIoNjaEuEcjrsgHvRhxmUguGxxmgD/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14944.jpg
VSTARユニバース 3パック,PK-1495,その他,5640.0,https://drive.google.com/file/d/1IZIXwJlHY2F2qkNCPtKAIKgacqCV-E3U/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01495.webp
スペースジャグラー 10パック,PK-1496,その他,5600.0,https://drive.google.com/file/d/1oTkYtmWBc5B5YFEzKiRm1JKM1BFafw_q/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_08207.webp
タイムゲイザー 10パック,PK-1497,その他,5600.0,https://drive.google.com/file/d/1Y74dnpU8yBS87s3Rf21YVusXvSU3jI4e/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_14977.jpg
超電ブレイカー 10パック,PK-1498,その他,5600.0,https://drive.google.com/file/d/1vpHNEsEKOhSs60IldLVjYuoyu1YjHjRA/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01498.webp
熱風のアリーナ 10パック,PK-1499,その他,5600.0,https://drive.google.com/file/d/1Jx1h7tlhDxDiLXbpQSL5ngyWbEVdFAa0/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_63319.webp
なにかのPSA10(ブロンズ),PK-1500,その他,5580.0,https://drive.google.com/file/d/1rxBypU7rS9xpNDpqxX8x8aUOVMw1rSjY/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_15007.jpg
アンノーンV PSA10,PK-1501,SR,5580.0,https://drive.google.com/file/d/1ujPzhTKTRrd-xD9XUMcD-0kydPPNYM6U/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/アンノーン_10.jpg
ポピー PSA10,PK-1502,SR,5580.0,https://drive.google.com/file/d/14Y8i3BNfmBgOJpTJsus_iBYS5AmeMURx/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_52917.webp
ドラピオンV PSA10,PK-1503,その他,5580.0,https://drive.google.com/file/d/18x3255c3oidyFJsdR_QvgqyxG5FeGzxD/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ドラピオン_1.jpg
ピカチュウV(25th) RR PSA10,PK-1504,その他,5580.0,https://drive.google.com/file/d/1C1nmrB0RL3YiWkQsdKRovZ9-Z8p9ptQs/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01504.webp
セキ PSA10,PK-1505,その他,5580.0,https://drive.google.com/file/d/1YyPAHe44uQhZhbXe9-Nt0ZNxWl85PuXz/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_53605.webp
スター団のしたっぱ PSA10,PK-1506,その他,5580.0,,/Users/kotarokashiwai/pokeca/images/card_15061.jpg
マスカーニャex PSA10,PK-1507,その他,5580.0,https://drive.google.com/file/d/1vIuARQIoWnZlro_ln2RELVLHu_BtMVCv/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01507.webp
